I.D,,Department,Group,Teacher,Gender,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,M1,Q1.2,Q2.2,Q3.2,Q4.2,M2,Q1.3,Q2.3,Q3.3,Q4.3,Q5.3,Q6.3,M3,Q1.4,Q2.4,Q3.4,Q4.4,Q5.4,Q6.4,Final
131,1059,49,3,B,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,735,45,4,B,M,3,2,0,4,1,4,14,0,2,14,0,16,0,2,1,0,9,7,19,0,0,6,1,0,7,14
133,1515,20,2,B,M,6,2,0,8,8,5,29,3,20,29,9,61,0,0,0,0,10,6,16,12,8,7,5,12,7,51
134,2577,45,5,B,F,8,2,0,8,5,6,29,0,17,30,9,56,0,3,0,0,10,10,23,1,6,6,6,12,10,41
135,3421,28,5,B,M,6,4,4,8,8,8,38,0,20,33,9,62,?,?,?,?,?,?,0,12,3,10,12,7,10,54
136,4556,25,4,B,M,8,3,4,8,2,7,32,10,20,32,9,71,3,8,3,10,0,1,25,0,6,10,10,14,10,50
137,5133,28,1,B,M,6,4,4,8,8,4,34,0,13,3,9,25,0,4,0,0,8,9,21,12,12,10,0,0,0,34
138,5914,27,5,B,M,2,2,4,6,0,4,18,0,18,18,6,42,0,0,3,0,10,7,20,2,0,0,0,5,8,15
139,6654,45,1,B,M,5,3,0,2,0,0,10,1,10,23,4,38,2,3,7,1,9,3,25,0,0,3,4,9,7,23
140,7061,45,4,B,M,5,4,4,8,6,5,32,0,16,22,9,47,0,1,0,3,10,7,21,10,2,3,4,8,10,37
141,7767,26,1,B,M,5,4,0,2,7,4,22,0,19,23,9,51,0,1,0,0,9,8,18,4,0,10,1,3,7,25
142,8333,22,5,B,M,4,0,0,5,6,3,18,1,18,6,1,26,0,0,0,0,0,2,2,12,0,0,0,0,0,12
143,9446,28,1,B,M,6,4,4,0,0,2,16,8,14,25,12,59,0,5,5,0,0,0,10,12,12,5,0,0,7,36
144,44,28,1,B,M,?,?,?,?,?,?,0,?,?,?,?,0,10,5,3,2,10,0,30,10,0,1,5,9,10,35
145,1066,49,3,B,M,0,1,4,0,0,0,5,0,0,0,0,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0
146,768,21,5,B,M,0,0,0,0,0,0,0,?,?,?,?,0,0,0,1,0,0,0,1,?,?,?,?,?,?,0
147,1537,21,3,B,M,8,3,4,8,6,4,33,3,20,32,5,60,10,7,6,3,10,6,42,8,5,0,10,10,10,43
148,2663,28,1,B,F,8,4,4,8,8,4,36,10,20,25,9,64,?,?,?,?,?,?,0,10,11,10,1,14,10,56
149,3432,20,2,B,M,6,4,4,7,6,6,33,0,19,21,9,49,?,?,?,?,?,?,0,2,8,10,1,1,7,29
150,4578,25,4,B,M,6,4,4,3,0,2,19,0,14,13,1,28,0,5,0,0,10,10,25,6,0,1,6,12,3,28
